Open,High,Low,Volume,Close
8940.84,9080.01,8537.84,81042840,9080.01
9080.01,9080.01,8510.25,75726192,8688.59
8688.59,9512.68,8688.59,152230624,9105.92
9105.92,9715.37,9013.81,124166664,9715.37
9715.37,9900.21,9538.51,114706568,9684.55
9684.55,10034.94,9547.75,91064400,10034.94
10034.94,10254.05,9939.11,119197064,10100.63
10100.63,10106.33,9417.65,93031952,9535.23
9535.23,9914.96,9269.75,95473960,9857.23
9857.23,10003.9,9662.06,67874960,9765.1
9765.1,10013.91,9739.63,51276848,9832.59
9832.59,9936.3,9729.53,48293316,9914.61
9914.61,10267.13,9914.61,97749976,10211.44
10211.44,10211.44,9924.83,60968916,10066.86
10066.86,10236.18,9957.06,50922128,10101.58
10101.58,10260.24,9772.37,52930472,9868.6
9868.6,9868.6,9564.12,51676996,9639.95
9639.95,9639.95,9394.02,45393368,9577.66
9577.66,9587.94,9233.25,53968268,9381.5
9381.5,9520.91,9082.01,65784620,9400.63
9400.63,9414.1,8906.45,53113640,9075.65
9075.65,9154.12,8659.69,48258852,8919.92
8919.92,9234.78,8832.24,76068888,9233.62
9233.62,9537.9,9146.31,78662488,9537.9
9537.9,9879.28,9375.37,116524784,9736.95
9736.95,9736.95,9482.42,36243976,9654.76
9654.76,9914.38,9567.52,74016408,9654.86
9654.86,9833.36,9399.52,53448092,9625.95
9625.95,9902.82,9520.77,64309552,9891.63
9891.63,10049.66,9457.06,140644688,10049.66
10049.66,10347.42,10017.9,103677904,10293.55
10293.55,10423.58,10131.13,95221504,10238.69
10238.69,10291.04,9912.23,78508248,9990.2
9990.2,9990.2,9653.66,41366052,9878.88
9878.88,9884.95,9559.91,29105818,9616.34
9616.34,9625.37,9342.82,53246192,9598.55
9598.55,9733.57,9534.19,49063780,9630.41
9630.41,9866.09,9588.19,54413924,9805.75
9805.75,9933.87,9584.83,81884856,9628.06
9628.06,9650.41,9259.01,58451056,9517.92
9517.92,9661.88,9275.02,92005784,9295.93
9295.93,9295.93,8259.9,71096088,8465.84
8465.84,8524.61,7843.01,60394800,7937.87
7937.87,7937.87,6881.9,100323248,7766.92
7766.92,7921.2,7447.58,98576824,7703.49
7703.49,7952.4,7675.65,68428200,7899.4
7899.4,7899.4,7598.04,62406032,7651.78
7651.78,7651.78,7225.08,71034880,7306.38
7493.28,7557.16,7384.86,54470676,7515.33
7515.33,7757.43,7515.33,76855008,7644.94
7594.91,7607.41,7388.41,48852472,7477.42
7477.42,7477.42,7194.44,56294512,7414.41
7414.41,7633.99,7414.41,53855556,7625.87
7625.87,7860.95,7588.4,67320576,7729.37
7729.37,7843.5,7603.55,63156224,7843.5
7843.5,7857.13,7610.24,59812048,7669.85
7669.85,7888.98,7635.38,68426504,7805.05
7805.05,7807.33,7514.88,64623604,7598.91
7598.91,7598.91,7263.31,56314080,7499.02
7499.02,7663.43,7442.27,52869560,7637.58
7637.58,8048.28,7634.54,84167368,8048.28
8048.28,8626.53,8048.28,189099376,8626.53
8626.53,8795.85,8221.41,174187184,8431.49
